Precinct	Votes	votes|Frank M. Bass	pct|Frank M. Bass	votes|Regina D. Lewis	pct|Regina D. Lewis	votes|Wallace E. Johnson	pct|Wallace E. Johnson	votes|Sherita Ann Harris	pct|Sherita Ann Harris	votes|Roger L. Washington	pct|Roger L. Washington	votes|Vetress Boyce	pct|Vetress Boyce	votes|Ladarius R. Curtis	pct|Ladarius R. Curtis	votes|Darren Tillis	pct|Darren Tillis	votes|Larry G. Nelson	pct|Larry G. Nelson	votes|Michael Scott, Jr.	pct|Michael Scott, Jr.
24026	294	15	5.10	13	4.42	47	15.99	9	3.06	3	1.02	50	17.01	9	3.06	38	12.93	1	0.34	109	37.07
24027	204	17	8.33	13	6.37	12	5.88	7	3.43	4	1.96	32	15.69	5	2.45	38	18.63	0	0	76	37.25
24028	161	7	4.35	29	18.01	7	4.35	4	2.48	1	0.62	32	19.88	4	2.48	33	20.50	3	1.86	41	25.47
24029	158	51	32.28	11	6.96	7	4.43	5	3.16	2	1.27	9	5.70	3	1.90	15	9.49	4	2.53	51	32.28
24030	110	3	2.73	6	5.45	7	6.36	4	3.64	4	3.64	21	19.09	2	1.82	10	9.09	2	1.82	51	46.36
24031	198	40	20.20	8	4.04	10	5.05	10	5.05	2	1.01	34	17.17	4	2.02	25	12.63	1	0.51	64	32.32
24032	118	13	11.02	10	8.47	2	1.69	3	2.54	4	3.39	8	6.78	6	5.08	43	36.44	2	1.69	27	22.88
24033	104	7	6.73	19	18.27	1	0.96	7	6.73	2	1.92	10	9.62	3	2.88	17	16.35	3	2.88	35	33.65
24034	178	9	5.06	15	8.43	9	5.06	6	3.37	2	1.12	51	28.65	7	3.93	27	15.17	4	2.25	48	26.97
24035	210	8	3.81	6	2.86	10	4.76	9	4.29	5	2.38	70	33.33	2	0.95	37	17.62	5	2.38	58	27.62
24036	251	96	38.25	12	4.78	7	2.79	8	3.19	5	1.99	17	6.77	4	1.59	31	12.35	2	0.80	69	27.49
24037	106	22	20.75	7	6.60	5	4.72	5	4.72	0	0	9	8.49	0	0	9	8.49	1	0.94	48	45.28
24038	178	15	8.43	5	2.81	15	8.43	11	6.18	4	2.25	11	6.18	7	3.93	16	8.99	5	2.81	89	50.00
24039	246	33	13.41	41	16.67	14	5.69	25	10.16	4	1.63	18	7.32	8	3.25	16	6.50	7	2.85	80	32.52
24040	180	6	3.33	9	5.00	29	16.11	10	5.56	2	1.11	34	18.89	4	2.22	12	6.67	3	1.67	71	39.44
24041	158	14	8.86	19	12.03	20	12.66	12	7.59	1	0.63	15	9.49	4	2.53	13	8.23	5	3.16	55	34.81
