Precinct	Votes	votes|Susana A. Mendoza	pct|Susana A. Mendoza
31020	112	112	100.00
31021	122	122	100.00
31022	112	112	100.00
31023	113	113	100.00
31024	166	166	100.00
31025	93	93	100.00
31026	147	147	100.00
31027	132	132	100.00
31028	97	97	100.00
31029	160	160	100.00
31030	79	79	100.00
31031	126	126	100.00
31032	113	113	100.00
31033	109	109	100.00
31034	115	115	100.00
31035	141	141	100.00
31036	152	152	100.00
31037	122	122	100.00
31038	105	105	100.00
31039	119	119	100.00
31040	120	120	100.00
31041	97	97	100.00
32001	153	153	100.00
32002	124	124	100.00
32003	229	229	100.00
32004	160	160	100.00
32005	163	163	100.00
32006	133	133	100.00
32007	155	155	100.00
32008	122	122	100.00
32009	169	169	100.00
32010	154	154	100.00
32011	179	179	100.00
32012	154	154	100.00
32013	140	140	100.00
32014	171	171	100.00
32015	155	155	100.00
32016	156	156	100.00
32017	188	188	100.00
32018	133	133	100.00
32019	135	135	100.00
32020	215	215	100.00
32021	192	192	100.00
32022	214	214	100.00
32023	153	153	100.00
32024	80	80	100.00
32025	149	149	100.00
32026	199	199	100.00
32027	141	141	100.00
32028	190	190	100.00
32029	193	193	100.00
32030	121	121	100.00
32031	143	143	100.00
32032	149	149	100.00
32033	155	155	100.00
32034	129	129	100.00
32035	145	145	100.00
32036	144	144	100.00
32037	116	116	100.00
32038	141	141	100.00
32039	138	138	100.00
32040	166	166	100.00
32041	159	159	100.00
32042	140	140	100.00
32043	163	163	100.00
33001	226	226	100.00
33002	273	273	100.00
33003	253	253	100.00
33004	241	241	100.00
33005	177	177	100.00
33006	212	212	100.00
33007	256	256	100.00
33008	362	362	100.00
33009	251	251	100.00
33010	265	265	100.00
33011	230	230	100.00
33012	247	247	100.00
33013	217	217	100.00
33014	92	92	100.00
33015	278	278	100.00
33016	350	350	100.00
33017	261	261	100.00
33018	257	257	100.00
33019	198	198	100.00
33020	242	242	100.00
33021	249	249	100.00
33022	297	297	100.00
33023	259	259	100.00
33024	390	390	100.00
33025	288	288	100.00
33026	153	153	100.00
33027	179	179	100.00
33028	174	174	100.00
34001	263	263	100.00
34002	207	207	100.00
34003	222	222	100.00
34004	165	165	100.00
34005	200	200	100.00
34006	271	271	100.00
34007	257	257	100.00
34008	152	152	100.00
34009	153	153	100.00
34010	214	214	100.00
34011	170	170	100.00
34012	234	234	100.00
34013	219	219	100.00
34014	173	173	100.00
34015	151	151	100.00
34016	165	165	100.00
34017	265	265	100.00
34018	162	162	100.00
34019	200	200	100.00
34020	278	278	100.00
34021	305	305	100.00
34022	232	232	100.00
34023	174	174	100.00
34024	178	178	100.00
34025	264	264	100.00
34026	245	245	100.00
34027	185	185	100.00
34028	128	128	100.00
34029	165	165	100.00
34030	250	250	100.00
34031	154	154	100.00
34032	205	205	100.00
34033	167	167	100.00
34034	248	248	100.00
34035	228	228	100.00
34036	213	213	100.00
34037	131	131	100.00
34038	127	127	100.00
34039	163	163	100.00
34040	225	225	100.00
34041	154	154	100.00
34042	241	241	100.00
34043	211	211	100.00
34044	218	218	100.00
34045	234	234	100.00
34046	156	156	100.00
34047	198	198	100.00
34048	262	262	100.00
34049	276	276	100.00
34050	176	176	100.00
34051	270	270	100.00
34052	198	198	100.00
34053	114	114	100.00
35001	195	195	100.00
35002	236	236	100.00
35003	158	158	100.00
35004	209	209	100.00
35005	156	156	100.00
35006	159	159	100.00
35007	172	172	100.00
35008	151	151	100.00
35009	219	219	100.00
35010	200	200	100.00
35011	200	200	100.00
35012	118	118	100.00
35013	121	121	100.00
35014	146	146	100.00
35015	195	195	100.00
35016	113	113	100.00
35017	150	150	100.00
35018	169	169	100.00
35019	115	115	100.00
35020	130	130	100.00
35021	166	166	100.00
35022	190	190	100.00
35023	182	182	100.00
35024	153	153	100.00
35025	174	174	100.00
35026	143	143	100.00
35027	159	159	100.00
35028	163	163	100.00
35029	151	151	100.00
35030	175	175	100.00
35031	200	200	100.00
36001	189	189	100.00
36002	153	153	100.00
36003	174	174	100.00
36004	181	181	100.00
36005	179	179	100.00
36006	151	151	100.00
36007	262	262	100.00
36008	127	127	100.00
36009	132	132	100.00
36010	186	186	100.00
36011	119	119	100.00
36012	104	104	100.00
36013	125	125	100.00
36014	198	198	100.00
36015	229	229	100.00
36016	200	200	100.00
36017	208	208	100.00
36018	192	192	100.00
36019	192	192	100.00
36020	192	192	100.00
36021	148	148	100.00
36022	102	102	100.00
36023	145	145	100.00
36024	185	185	100.00
36025	133	133	100.00
36026	160	160	100.00
36027	160	160	100.00
36028	184	184	100.00
36029	225	225	100.00
36030	196	196	100.00
37001	145	145	100.00
37002	107	107	100.00
37003	113	113	100.00
37004	152	152	100.00
37005	210	210	100.00
37006	192	192	100.00
37007	119	119	100.00
37008	102	102	100.00
37009	168	168	100.00
37010	204	204	100.00
37011	123	123	100.00
37012	128	128	100.00
37013	135	135	100.00
37014	163	163	100.00
37015	192	192	100.00
37016	204	204	100.00
37017	125	125	100.00
37018	171	171	100.00
37019	115	115	100.00
37020	127	127	100.00
37021	141	141	100.00
37022	169	169	100.00
37023	205	205	100.00
37024	152	152	100.00
37025	182	182	100.00
37026	237	237	100.00
37027	172	172	100.00
37028	147	147	100.00
37029	186	186	100.00
37030	155	155	100.00
37031	209	209	100.00
37032	171	171	100.00
37033	175	175	100.00
37034	162	162	100.00
37035	207	207	100.00
37036	148	148	100.00
37037	161	161	100.00
37038	204	204	100.00
37039	152	152	100.00
37040	189	189	100.00
37041	187	187	100.00
38001	191	191	100.00
38002	296	296	100.00
38003	200	200	100.00
38004	254	254	100.00
38005	231	231	100.00
38006	215	215	100.00
38007	245	245	100.00
38008	211	211	100.00
38009	273	273	100.00
38010	183	183	100.00
38011	179	179	100.00
38012	259	259	100.00
38013	259	259	100.00
38014	229	229	100.00
38015	185	185	100.00
38016	233	233	100.00
38017	279	279	100.00
38018	232	232	100.00
38019	229	229	100.00
38020	216	216	100.00
38021	186	186	100.00
38022	204	204	100.00
38023	246	246	100.00
38024	283	283	100.00
38025	172	172	100.00
38026	234	234	100.00
38027	230	230	100.00
38028	280	280	100.00
38029	202	202	100.00
38030	222	222	100.00
38031	231	231	100.00
38032	192	192	100.00
38033	192	192	100.00
38034	180	180	100.00
38035	214	214	100.00
38036	185	185	100.00
38037	225	225	100.00
38038	197	197	100.00
38039	234	234	100.00
38040	215	215	100.00
38041	220	220	100.00
39001	214	214	100.00
39002	263	263	100.00
39003	198	198	100.00
39004	223	223	100.00
39005	237	237	100.00
39006	206	206	100.00
39007	203	203	100.00
39008	237	237	100.00
39009	210	210	100.00
39010	108	108	100.00
39011	213	213	100.00
39012	226	226	100.00
39013	167	167	100.00
39014	163	163	100.00
39015	263	263	100.00
39016	134	134	100.00
39017	237	237	100.00
39018	206	206	100.00
39019	214	214	100.00
39020	263	263	100.00
39021	198	198	100.00
39022	133	133	100.00
39023	238	238	100.00
39024	299	299	100.00
39025	134	134	100.00
39026	216	216	100.00
39027	45	45	100.00
39028	241	241	100.00
39029	94	94	100.00
39030	233	233	100.00
39031	176	176	100.00
39032	185	185	100.00
39033	198	198	100.00
39034	205	205	100.00
39035	217	217	100.00
39036	89	89	100.00
39037	235	235	100.00
39038	152	152	100.00
39039	136	136	100.00
39040	191	191	100.00
39041	267	267	100.00
39042	233	233	100.00
39043	244	244	100.00
39044	190	190	100.00
39045	221	221	100.00
40001	183	183	100.00
40002	185	185	100.00
40003	216	216	100.00
40004	138	138	100.00
40005	204	204	100.00
40006	217	217	100.00
40007	229	229	100.00
40008	252	252	100.00
40009	178	178	100.00
40010	199	199	100.00
40011	255	255	100.00
40012	137	137	100.00
40013	230	230	100.00
40014	154	154	100.00
40015	190	190	100.00
40016	239	239	100.00
40017	191	191	100.00
40018	153	153	100.00
40019	264	264	100.00
40020	174	174	100.00
40021	251	251	100.00
40022	182	182	100.00
40023	266	266	100.00
40024	162	162	100.00
40025	220	220	100.00
40026	236	236	100.00
40027	282	282	100.00
40028	240	240	100.00
40029	239	239	100.00
40030	251	251	100.00
40031	239	239	100.00
40032	234	234	100.00
40033	225	225	100.00
40034	205	205	100.00
40035	159	159	100.00
40036	195	195	100.00
40037	216	216	100.00
40038	227	227	100.00
40039	48	48	100.00
41001	265	265	100.00
41002	284	284	100.00
41003	255	255	100.00
41004	283	283	100.00
41005	253	253	100.00
41006	259	259	100.00
41007	313	313	100.00
41008	263	263	100.00
41009	231	231	100.00
41010	276	276	100.00
41011	270	270	100.00
41012	253	253	100.00
41013	271	271	100.00
41014	305	305	100.00
41015	286	286	100.00
41016	248	248	100.00
41017	242	242	100.00
41018	225	225	100.00
41019	265	265	100.00
41020	232	232	100.00
41021	275	275	100.00
41022	267	267	100.00
41023	249	249	100.00
41024	246	246	100.00
41025	113	113	100.00
41026	270	270	100.00
41027	159	159	100.00
41028	147	147	100.00
41029	121	121	100.00
41030	267	267	100.00
41031	319	319	100.00
41032	200	200	100.00
41033	238	238	100.00
41034	221	221	100.00
41035	281	281	100.00
41036	225	225	100.00
41037	259	259	100.00
41038	231	231	100.00
41039	273	273	100.00
41040	299	299	100.00
41041	269	269	100.00
41042	249	249	100.00
41043	249	249	100.00
41044	263	263	100.00
41045	225	225	100.00
41046	274	274	100.00
41047	237	237	100.00
42001	234	234	100.00
42002	144	144	100.00
42003	142	142	100.00
42004	264	264	100.00
42005	112	112	100.00
42006	290	290	100.00
42007	223	223	100.00
42008	198	198	100.00
42009	150	150	100.00
42010	149	149	100.00
42011	177	177	100.00
42012	148	148	100.00
42013	275	275	100.00
42014	111	111	100.00
42015	102	102	100.00
42016	163	163	100.00
42017	146	146	100.00
42018	123	123	100.00
42019	205	205	100.00
42020	112	112	100.00
42021	116	116	100.00
42022	79	79	100.00
42023	144	144	100.00
42024	169	169	100.00
42025	177	177	100.00
42026	188	188	100.00
42027	184	184	100.00
42028	279	279	100.00
42029	150	150	100.00
42030	214	214	100.00
42031	153	153	100.00
42032	115	115	100.00
42033	150	150	100.00
42034	205	205	100.00
42035	246	246	100.00
42036	159	159	100.00
42037	91	91	100.00
42038	138	138	100.00
42039	98	98	100.00
42040	166	166	100.00
42041	159	159	100.00
42042	187	187	100.00
43001	130	130	100.00
43002	174	174	100.00
43003	201	201	100.00
43004	165	165	100.00
43005	155	155	100.00
43006	116	116	100.00
43007	156	156	100.00
43008	181	181	100.00
43009	256	256	100.00
43010	192	192	100.00
43011	132	132	100.00
43012	127	127	100.00
43013	199	199	100.00
43014	222	222	100.00
43015	185	185	100.00
43016	177	177	100.00
43017	145	145	100.00
43018	216	216	100.00
43019	208	208	100.00
43020	225	225	100.00
43021	206	206	100.00
43022	102	102	100.00
43023	92	92	100.00
43024	157	157	100.00
43025	192	192	100.00
43026	166	166	100.00
43027	195	195	100.00
43028	214	214	100.00
43029	175	175	100.00
43030	166	166	100.00
43031	222	222	100.00
43032	219	219	100.00
43033	245	245	100.00
43034	149	149	100.00
43035	256	256	100.00
43036	63	63	100.00
43037	143	143	100.00
43038	191	191	100.00
43039	160	160	100.00
43040	114	114	100.00
43041	232	232	100.00
43042	162	162	100.00
43043	260	260	100.00
43044	185	185	100.00
43045	156	156	100.00
43046	84	84	100.00
44001	310	310	100.00
44002	154	154	100.00
44003	206	206	100.00
44004	242	242	100.00
44005	171	171	100.00
44006	161	161	100.00
44007	188	188	100.00
44008	217	217	100.00
44009	129	129	100.00
44010	125	125	100.00
44011	168	168	100.00
44012	211	211	100.00
44013	130	130	100.00
44014	141	141	100.00
44015	160	160	100.00
44016	183	183	100.00
44017	246	246	100.00
44018	163	163	100.00
44019	226	226	100.00
44020	118	118	100.00
44021	177	177	100.00
44022	227	227	100.00
44023	131	131	100.00
44024	227	227	100.00
44025	157	157	100.00
44026	172	172	100.00
44027	186	186	100.00
44028	208	208	100.00
44029	147	147	100.00
44030	159	159	100.00
44031	144	144	100.00
44032	199	199	100.00
44033	172	172	100.00
44034	218	218	100.00
44035	293	293	100.00
44036	157	157	100.00
44037	210	210	100.00
44038	154	154	100.00
44039	134	134	100.00
44040	161	161	100.00
44041	192	192	100.00
45001	160	160	100.00
45002	166	166	100.00
45003	190	190	100.00
45004	279	279	100.00
45005	264	264	100.00
45006	293	293	100.00
45007	323	323	100.00
45008	224	224	100.00
45009	226	226	100.00
45010	237	237	100.00
45011	167	167	100.00
45012	217	217	100.00
45013	232	232	100.00
45014	285	285	100.00
45015	347	347	100.00
45016	213	213	100.00
45017	257	257	100.00
45018	242	242	100.00
45019	137	137	100.00
45020	152	152	100.00
45021	225	225	100.00
45022	232	232	100.00
45023	248	248	100.00
45024	212	212	100.00
45025	178	178	100.00
45026	132	132	100.00
45027	209	209	100.00
45028	192	192	100.00
45029	150	150	100.00
45030	202	202	100.00
45031	197	197	100.00
45032	206	206	100.00
45033	137	137	100.00
45034	244	244	100.00
45035	259	259	100.00
45036	271	271	100.00
45037	218	218	100.00
45038	203	203	100.00
45039	240	240	100.00
45040	246	246	100.00
45041	234	234	100.00
45042	272	272	100.00
45043	259	259	100.00
45044	249	249	100.00
45045	174	174	100.00
45046	166	166	100.00
45047	192	192	100.00
45048	179	179	100.00
46001	213	213	100.00
46002	194	194	100.00
46003	263	263	100.00
46004	241	241	100.00
46005	178	178	100.00
46006	189	189	100.00
46007	321	321	100.00
46008	170	170	100.00
46009	212	212	100.00
46010	184	184	100.00
46011	207	207	100.00
46012	213	213	100.00
46013	190	190	100.00
46014	271	271	100.00
46015	210	210	100.00
46016	219	219	100.00
46017	278	278	100.00
46018	191	191	100.00
46019	165	165	100.00
46020	222	222	100.00
46021	147	147	100.00
46022	167	167	100.00
46023	179	179	100.00
46024	233	233	100.00
46025	197	197	100.00
46026	182	182	100.00
46027	188	188	100.00
46028	255	255	100.00
46029	189	189	100.00
46030	213	213	100.00
46031	170	170	100.00
46032	248	248	100.00
46033	255	255	100.00
46034	212	212	100.00
46035	243	243	100.00
46036	211	211	100.00
46037	158	158	100.00
46038	182	182	100.00
46039	183	183	100.00
46040	217	217	100.00
47001	94	94	100.00
47002	267	267	100.00
47003	303	303	100.00
47004	239	239	100.00
47005	216	216	100.00
47006	192	192	100.00
47007	172	172	100.00
47008	236	236	100.00
47009	154	154	100.00
47010	230	230	100.00
47011	144	144	100.00
47012	236	236	100.00
47013	230	230	100.00
47014	211	211	100.00
47015	233	233	100.00
47016	248	248	100.00
47017	193	193	100.00
47018	182	182	100.00
47019	219	219	100.00
47020	237	237	100.00
47021	200	200	100.00
47022	272	272	100.00
47023	197	197	100.00
47024	169	169	100.00
47025	188	188	100.00
47026	214	214	100.00
47027	185	185	100.00
47028	249	249	100.00
47029	216	216	100.00
47030	227	227	100.00
47031	197	197	100.00
47032	238	238	100.00
47033	178	178	100.00
47034	261	261	100.00
47035	182	182	100.00
47036	248	248	100.00
47037	240	240	100.00
47038	199	199	100.00
47039	233	233	100.00
47040	249	249	100.00
47041	234	234	100.00
47042	178	178	100.00
47043	174	174	100.00
47044	204	204	100.00
47045	232	232	100.00
47046	206	206	100.00
47047	193	193	100.00
47048	33	33	100.00
48001	171	171	100.00
48002	101	101	100.00
48003	206	206	100.00
48004	182	182	100.00
48005	161	161	100.00
48006	218	218	100.00
48007	178	178	100.00
48008	138	138	100.00
48009	171	171	100.00
48010	270	270	100.00
48011	192	192	100.00
48012	234	234	100.00
48013	309	309	100.00
48014	153	153	100.00
48015	143	143	100.00
48016	204	204	100.00
48017	225	225	100.00
48018	210	210	100.00
48019	147	147	100.00
48020	232	232	100.00
48021	250	250	100.00
48022	278	278	100.00
48023	306	306	100.00
48024	224	224	100.00
48025	218	218	100.00
48026	109	109	100.00
48027	167	167	100.00
48028	282	282	100.00
48029	187	187	100.00
48030	195	195	100.00
48031	250	250	100.00
48032	165	165	100.00
48033	186	186	100.00
48034	184	184	100.00
48035	170	170	100.00
48036	183	183	100.00
48037	196	196	100.00
48038	265	265	100.00
48039	195	195	100.00
48040	176	176	100.00
48041	197	197	100.00
48042	221	221	100.00
48043	227	227	100.00
48044	220	220	100.00
48045	140	140	100.00
48046	166	166	100.00
49001	127	127	100.00
49002	156	156	100.00
49003	255	255	100.00
49004	258	258	100.00
49005	244	244	100.00
49006	182	182	100.00
49007	192	192	100.00
49008	176	176	100.00
49009	210	210	100.00
49010	224	224	100.00
49011	261	261	100.00
49012	245	245	100.00
49013	263	263	100.00
49014	215	215	100.00
49015	161	161	100.00
49016	254	254	100.00
49017	198	198	100.00
49018	264	264	100.00
49019	186	186	100.00
49020	318	318	100.00
49021	147	147	100.00
49022	272	272	100.00
49023	233	233	100.00
49024	169	169	100.00
49025	261	261	100.00
49026	244	244	100.00
49027	227	227	100.00
49028	258	258	100.00
49029	235	235	100.00
49030	218	218	100.00
49031	183	183	100.00
49032	241	241	100.00
49033	178	178	100.00
50001	189	189	100.00
50002	116	116	100.00
50003	184	184	100.00
50004	208	208	100.00
50005	146	146	100.00
50006	210	210	100.00
50007	273	273	100.00
50008	153	153	100.00
50009	162	162	100.00
50010	148	148	100.00
50011	105	105	100.00
50012	104	104	100.00
50013	150	150	100.00
50014	66	66	100.00
50015	244	244	100.00
50016	70	70	100.00
50017	135	135	100.00
50018	47	47	100.00
50019	124	124	100.00
50020	183	183	100.00
50021	120	120	100.00
50022	120	120	100.00
50023	123	123	100.00
50024	140	140	100.00
50025	163	163	100.00
50026	161	161	100.00
50027	70	70	100.00
50028	204	204	100.00
50029	131	131	100.00
50030	130	130	100.00
50031	180	180	100.00
50032	174	174	100.00
50033	129	129	100.00
50034	217	217	100.00
50035	220	220	100.00
50036	176	176	100.00
50037	188	188	100.00
50038	133	133	100.00
50039	104	104	100.00
50040	180	180	100.00
