Precinct	Votes	votes|Rahm Emanuel	pct|Rahm Emanuel	votes|Jesus ''Chuy'' Garcia	pct|Jesus ''Chuy'' Garcia
03023	291	177	60.82	114	39.18
03024	291	188	64.60	103	35.40
03025	458	372	81.22	86	18.78
03026	450	358	79.56	92	20.44
03027	313	222	70.93	91	29.07
03028	267	194	72.66	73	27.34
03029	312	200	64.10	112	35.90
03030	324	193	59.57	131	40.43
03031	361	237	65.65	124	34.35
03032	344	265	77.03	79	22.97
03033	256	190	74.22	66	25.78
03034	360	256	71.11	104	28.89
03035	163	85	52.15	78	47.85
03036	174	100	57.47	74	42.53
03037	254	148	58.27	106	41.73
03038	350	249	71.14	101	28.86
03039	302	250	82.78	52	17.22
03040	367	225	61.31	142	38.69
03041	290	182	62.76	108	37.24
04001	399	138	34.59	261	65.41
04002	376	295	78.46	81	21.54
04003	305	172	56.39	133	43.61
04004	412	227	55.10	185	44.90
04005	342	178	52.05	164	47.95
04006	488	307	62.91	181	37.09
04007	410	234	57.07	176	42.93
04008	416	221	53.13	195	46.88
04009	485	251	51.75	234	48.25
04010	398	225	56.53	173	43.47
04011	340	221	65.00	119	35.00
04012	351	193	54.99	158	45.01
04013	192	130	67.71	62	32.29
04014	353	199	56.37	154	43.63
04015	400	240	60.00	160	40.00
04016	347	254	73.20	93	26.80
04017	341	235	68.91	106	31.09
04018	362	221	61.05	141	38.95
04019	312	180	57.69	132	42.31
04020	346	242	69.94	104	30.06
04021	304	195	64.14	109	35.86
04022	403	237	58.81	166	41.19
04023	461	238	51.63	223	48.37
04024	337	205	60.83	132	39.17
04025	340	253	74.41	87	25.59
04026	377	227	60.21	150	39.79
04027	355	137	38.59	218	61.41
04028	356	214	60.11	142	39.89
04029	269	141	52.42	128	47.58
04030	386	230	59.59	156	40.41
04031	457	287	62.80	170	37.20
04032	331	185	55.89	146	44.11
04033	393	207	52.67	186	47.33
04034	280	154	55.00	126	45.00
04035	457	273	59.74	184	40.26
04036	395	223	56.46	172	43.54
04037	324	233	71.91	91	28.09
04038	397	242	60.96	155	39.04
05001	271	166	61.25	105	38.75
05002	259	133	51.35	126	48.65
05003	343	130	37.90	213	62.10
05004	316	163	51.58	153	48.42
05005	328	173	52.74	155	47.26
05006	268	139	51.87	129	48.13
05007	309	194	62.78	115	37.22
05008	369	202	54.74	167	45.26
05009	398	233	58.54	165	41.46
05010	261	143	54.79	118	45.21
05011	379	181	47.76	198	52.24
05012	227	134	59.03	93	40.97
05013	270	153	56.67	117	43.33
05014	316	186	58.86	130	41.14
05015	323	171	52.94	152	47.06
05016	314	191	60.83	123	39.17
05017	256	163	63.67	93	36.33
05018	299	154	51.51	145	48.49
05019	374	157	41.98	217	58.02
05020	387	209	54.01	178	45.99
05021	307	138	44.95	169	55.05
05022	439	311	70.84	128	29.16
05023	493	275	55.78	218	44.22
05024	322	143	44.41	179	55.59
05025	339	184	54.28	155	45.72
05026	311	178	57.23	133	42.77
05027	292	153	52.40	139	47.60
05028	386	226	58.55	160	41.45
05029	376	179	47.61	197	52.39
05030	230	117	50.87	113	49.13
05031	229	121	52.84	108	47.16
05032	410	234	57.07	176	42.93
05033	355	214	60.28	141	39.72
05034	404	245	60.64	159	39.36
05035	365	196	53.70	169	46.30
05036	246	145	58.94	101	41.06
05037	387	233	60.21	154	39.79
05038	281	162	57.65	119	42.35
05039	307	173	56.35	134	43.65
05040	303	171	56.44	132	43.56
05041	227	149	65.64	78	34.36
06001	350	202	57.71	148	42.29
06002	321	192	59.81	129	40.19
06003	333	235	70.57	98	29.43
06004	220	133	60.45	87	39.55
06005	217	120	55.30	97	44.70
06006	285	164	57.54	121	42.46
06007	264	160	60.61	104	39.39
06008	321	176	54.83	145	45.17
06009	254	141	55.51	113	44.49
06010	186	108	58.06	78	41.94
06011	243	135	55.56	108	44.44
06012	176	101	57.39	75	42.61
06013	227	121	53.30	106	46.70
06014	282	156	55.32	126	44.68
06015	247	138	55.87	109	44.13
06016	337	185	54.90	152	45.10
06017	213	141	66.20	72	33.80
06018	200	118	59.00	82	41.00
06019	280	183	65.36	97	34.64
06020	159	88	55.35	71	44.65
06021	173	107	61.85	66	38.15
06022	203	111	54.68	92	45.32
06023	174	97	55.75	77	44.25
06024	165	104	63.03	61	36.97
06025	174	95	54.60	79	45.40
06026	170	90	52.94	80	47.06
06027	160	74	46.25	86	53.75
06028	147	79	53.74	68	46.26
06029	351	198	56.41	153	43.59
06030	239	121	50.63	118	49.37
06031	321	191	59.50	130	40.50
06032	272	155	56.99	117	43.01
06033	302	167	55.30	135	44.70
06034	303	170	56.11	133	43.89
06035	296	166	56.08	130	43.92
06036	341	203	59.53	138	40.47
06037	373	187	50.13	186	49.87
06038	340	172	50.59	168	49.41
06039	249	128	51.41	121	48.59
06040	258	139	53.88	119	46.12
06041	295	182	61.69	113	38.31
06042	268	153	57.09	115	42.91
06043	270	137	50.74	133	49.26
06044	323	198	61.30	125	38.70
06045	301	157	52.16	144	47.84
06046	219	119	54.34	100	45.66
06047	229	132	57.64	97	42.36
06048	284	171	60.21	113	39.79
07001	229	119	51.97	110	48.03
07002	240	128	53.33	112	46.67
07003	289	156	53.98	133	46.02
07004	289	148	51.21	141	48.79
07005	225	111	49.33	114	50.67
07006	388	221	56.96	167	43.04
07007	225	125	55.56	100	44.44
07008	286	200	69.93	86	30.07
07009	506	262	51.78	244	48.22
07010	298	176	59.06	122	40.94
07011	264	147	55.68	117	44.32
07012	260	148	56.92	112	43.08
07013	219	150	68.49	69	31.51
07014	268	156	58.21	112	41.79
07015	302	152	50.33	150	49.67
07016	226	122	53.98	104	46.02
07017	213	119	55.87	94	44.13
07018	228	124	54.39	104	45.61
07019	269	169	62.83	100	37.17
07020	174	105	60.34	69	39.66
07021	196	109	55.61	87	44.39
07022	209	112	53.59	97	46.41
07023	317	171	53.94	146	46.06
07024	263	143	54.37	120	45.63
07025	239	112	46.86	127	53.14
07026	230	131	56.96	99	43.04
07027	231	142	61.47	89	38.53
07028	207	113	54.59	94	45.41
07029	233	155	66.52	78	33.48
07030	208	105	50.48	103	49.52
07031	171	80	46.78	91	53.22
07032	434	262	60.37	172	39.63
07033	407	251	61.67	156	38.33
07034	364	208	57.14	156	42.86
07035	272	131	48.16	141	51.84
07036	353	190	53.82	163	46.18
07037	336	193	57.44	143	42.56
07038	198	124	62.63	74	37.37
07039	279	160	57.35	119	42.65
07040	289	167	57.79	122	42.21
07041	262	143	54.58	119	45.42
07042	275	159	57.82	116	42.18
07043	269	158	58.74	111	41.26
07044	247	148	59.92	99	40.08
07045	262	135	51.53	127	48.47
07046	156	108	69.23	48	30.77
08001	217	130	59.91	87	40.09
08002	281	173	61.57	108	38.43
08003	362	213	58.84	149	41.16
08004	367	216	58.86	151	41.14
08005	373	212	56.84	161	43.16
08006	322	197	61.18	125	38.82
08007	362	213	58.84	149	41.16
08008	335	184	54.93	151	45.07
08009	195	115	58.97	80	41.03
08010	399	221	55.39	178	44.61
08011	275	167	60.73	108	39.27
08012	250	138	55.20	112	44.80
08013	320	197	61.56	123	38.44
08014	182	104	57.14	78	42.86
08015	252	141	55.95	111	44.05
08016	91	52	57.14	39	42.86
08017	280	178	63.57	102	36.43
08018	240	153	63.75	87	36.25
08019	361	189	52.35	172	47.65
08020	313	175	55.91	138	44.09
08021	343	193	56.27	150	43.73
08022	269	172	63.94	97	36.06
08023	225	115	51.11	110	48.89
08024	198	109	55.05	89	44.95
08025	295	181	61.36	114	38.64
08026	275	168	61.09	107	38.91
08027	331	185	55.89	146	44.11
08028	304	164	53.95	140	46.05
08029	329	182	55.32	147	44.68
08030	323	197	60.99	126	39.01
08031	225	138	61.33	87	38.67
08032	244	143	58.61	101	41.39
08033	283	178	62.90	105	37.10
08034	289	190	65.74	99	34.26
08035	351	195	55.56	156	44.44
08036	319	190	59.56	129	40.44
08037	273	155	56.78	118	43.22
08038	207	130	62.80	77	37.20
08039	302	187	61.92	115	38.08
08040	226	149	65.93	77	34.07
08041	307	178	57.98	129	42.02
08042	355	194	54.65	161	45.35
08043	156	87	55.77	69	44.23
08044	184	97	52.72	87	47.28
08045	237	136	57.38	101	42.62
08046	240	120	50.00	120	50.00
08047	256	163	63.67	93	36.33
08048	238	137	57.56	101	42.44
08049	296	162	54.73	134	45.27
08050	330	207	62.73	123	37.27
08051	331	175	52.87	156	47.13
08052	406	233	57.39	173	42.61
08053	168	105	62.50	63	37.50
08054	227	135	59.47	92	40.53
08055	187	120	64.17	67	35.83
08056	320	205	64.06	115	35.94
09001	286	186	65.03	100	34.97
09002	236	143	60.59	93	39.41
09003	152	91	59.87	61	40.13
09004	226	131	57.96	95	42.04
09005	260	159	61.15	101	38.85
09006	304	175	57.57	129	42.43
09007	190	108	56.84	82	43.16
09008	227	129	56.83	98	43.17
09009	340	199	58.53	141	41.47
09010	240	132	55.00	108	45.00
09011	194	121	62.37	73	37.63
09012	311	181	58.20	130	41.80
09013	333	194	58.26	139	41.74
09014	366	218	59.56	148	40.44
09015	156	93	59.62	63	40.38
09016	242	156	64.46	86	35.54
09017	201	121	60.20	80	39.80
09018	194	112	57.73	82	42.27
09019	240	133	55.42	107	44.58
09020	295	178	60.34	117	39.66
09021	257	154	59.92	103	40.08
09022	306	178	58.17	128	41.83
09023	333	185	55.56	148	44.44
09024	285	186	65.26	99	34.74
09025	287	154	53.66	133	46.34
09026	190	98	51.58	92	48.42
09027	253	155	61.26	98	38.74
09028	164	71	43.29	93	56.71
09029	262	143	54.58	119	45.42
09030	222	134	60.36	88	39.64
09031	210	127	60.48	83	39.52
09032	255	145	56.86	110	43.14
09033	188	126	67.02	62	32.98
09034	218	131	60.09	87	39.91
09035	279	165	59.14	114	40.86
09036	226	123	54.42	103	45.58
09037	336	193	57.44	143	42.56
09038	268	175	65.30	93	34.70
09039	287	168	58.54	119	41.46
09040	314	190	60.51	124	39.49
09041	226	141	62.39	85	37.61
09042	330	166	50.30	164	49.70
09043	216	139	64.35	77	35.65
09044	248	102	41.13	146	58.87
09045	213	131	61.50	82	38.50
09046	258	152	58.91	106	41.09
09047	341	195	57.18	146	42.82
09048	315	162	51.43	153	48.57
09049	307	183	59.61	124	40.39
09050	387	211	54.52	176	45.48
09051	302	185	61.26	117	38.74
10001	250	127	50.80	123	49.20
10002	379	196	51.72	183	48.28
10003	367	223	60.76	144	39.24
10004	257	91	35.41	166	64.59
10005	305	163	53.44	142	46.56
10006	300	124	41.33	176	58.67
10007	232	76	32.76	156	67.24
10008	165	67	40.61	98	59.39
10009	391	206	52.69	185	47.31
10010	376	162	43.09	214	56.91
10011	478	148	30.96	330	69.04
10012	249	93	37.35	156	62.65
10013	367	125	34.06	242	65.94
10014	497	163	32.80	334	67.20
10015	552	287	51.99	265	48.01
10016	278	160	57.55	118	42.45
10017	494	260	52.63	234	47.37
10018	193	74	38.34	119	61.66
10019	417	169	40.53	248	59.47
10020	412	173	41.99	239	58.01
10021	388	120	30.93	268	69.07
10022	190	40	21.05	150	78.95
10023	337	98	29.08	239	70.92
10024	408	223	54.66	185	45.34
10025	95	38	40.00	57	60.00
10026	266	76	28.57	190	71.43
10027	284	108	38.03	176	61.97
10028	423	108	25.53	315	74.47
10029	335	99	29.55	236	70.45
10030	322	84	26.09	238	73.91
10031	258	70	27.13	188	72.87
10032	360	146	40.56	214	59.44
10033	251	67	26.69	184	73.31
10034	211	66	31.28	145	68.72
10035	449	211	46.99	238	53.01
10036	87	31	35.63	56	64.37
11001	385	244	63.38	141	36.62
11002	41	17	41.46	24	58.54
11003	267	74	27.72	193	72.28
11004	355	164	46.20	191	53.80
11005	430	178	41.40	252	58.60
11006	324	206	63.58	118	36.42
11007	244	140	57.38	104	42.62
11008	364	192	52.75	172	47.25
11009	338	178	52.66	160	47.34
11010	368	235	63.86	133	36.14
11011	406	222	54.68	184	45.32
11012	615	366	59.51	249	40.49
11013	555	339	61.08	216	38.92
11014	249	182	73.09	67	26.91
11015	168	127	75.60	41	24.40
11016	300	181	60.33	119	39.67
11017	393	219	55.73	174	44.27
11018	355	253	71.27	102	28.73
11019	438	223	50.91	215	49.09
11020	303	218	71.95	85	28.05
11021	583	407	69.81	176	30.19
11022	484	273	56.40	211	43.60
11023	271	202	74.54	69	25.46
11024	503	378	75.15	125	24.85
11025	404	247	61.14	157	38.86
11026	508	327	64.37	181	35.63
11027	158	96	60.76	62	39.24
11028	205	127	61.95	78	38.05
11029	499	325	65.13	174	34.87
11030	233	180	77.25	53	22.75
11031	441	274	62.13	167	37.87
11032	237	189	79.75	48	20.25
11033	300	200	66.67	100	33.33
11034	164	130	79.27	34	20.73
11035	154	109	70.78	45	29.22
11036	178	119	66.85	59	33.15
11037	138	102	73.91	36	26.09
11038	150	36	24.00	114	76.00
12001	333	104	31.23	229	68.77
12002	255	73	28.63	182	71.37
12003	379	114	30.08	265	69.92
12004	330	101	30.61	229	69.39
12005	289	124	42.91	165	57.09
12006	327	104	31.80	223	68.20
12007	261	29	11.11	232	88.89
12008	331	128	38.67	203	61.33
12009	286	83	29.02	203	70.98
12010	302	39	12.91	263	87.09
12011	326	56	17.18	270	82.82
12012	267	74	27.72	193	72.28
12013	316	84	26.58	232	73.42
12014	241	25	10.37	216	89.63
12015	305	76	24.92	229	75.08
12016	294	37	12.59	257	87.41
12017	323	91	28.17	232	71.83
12018	269	33	12.27	236	87.73
12019	304	68	22.37	236	77.63
12020	354	79	22.32	275	77.68
12021	316	98	31.01	218	68.99
12022	242	30	12.40	212	87.60
12023	311	107	34.41	204	65.59
13001	267	166	62.17	101	37.83
13002	305	207	67.87	98	32.13
13003	218	80	36.70	138	63.30
13004	335	215	64.18	120	35.82
13005	351	153	43.59	198	56.41
13006	325	218	67.08	107	32.92
13007	242	125	51.65	117	48.35
13008	231	120	51.95	111	48.05
13009	288	153	53.13	135	46.88
13010	317	212	66.88	105	33.12
13011	366	218	59.56	148	40.44
13012	285	145	50.88	140	49.12
13013	312	139	44.55	173	55.45
13014	271	130	47.97	141	52.03
13015	438	240	54.79	198	45.21
13016	237	108	45.57	129	54.43
13017	261	149	57.09	112	42.91
13018	243	148	60.91	95	39.09
13019	322	121	37.58	201	62.42
13020	194	123	63.40	71	36.60
13021	371	247	66.58	124	33.42
13022	353	220	62.32	133	37.68
13023	233	104	44.64	129	55.36
13024	289	157	54.33	132	45.67
13025	307	156	50.81	151	49.19
13026	310	204	65.81	106	34.19
13027	307	187	60.91	120	39.09
13028	252	112	44.44	140	55.56
13029	248	112	45.16	136	54.84
13030	233	104	44.64	129	55.36
13031	325	199	61.23	126	38.77
13032	277	180	64.98	97	35.02
13033	294	189	64.29	105	35.71
13034	359	184	51.25	175	48.75
13035	281	126	44.84	155	55.16
13036	169	74	43.79	95	56.21
13037	333	186	55.86	147	44.14
13038	283	171	60.42	112	39.58
13039	310	147	47.42	163	52.58
13040	254	149	58.66	105	41.34
13041	284	128	45.07	156	54.93
13042	310	192	61.94	118	38.06
13043	328	193	58.84	135	41.16
13044	409	310	75.79	99	24.21
13045	302	208	68.87	94	31.13
13046	357	139	38.94	218	61.06
13047	313	142	45.37	171	54.63
13048	283	197	69.61	86	30.39
14001	416	246	59.13	170	40.87
14002	421	155	36.82	266	63.18
14003	295	75	25.42	220	74.58
14004	321	194	60.44	127	39.56
14005	372	88	23.66	284	76.34
14006	146	42	28.77	104	71.23
14007	326	92	28.22	234	71.78
14008	303	81	26.73	222	73.27
14009	360	202	56.11	158	43.89
14010	220	72	32.73	148	67.27
14011	171	55	32.16	116	67.84
14012	312	128	41.03	184	58.97
14013	238	88	36.97	150	63.03
14014	273	75	27.47	198	72.53
14015	302	76	25.17	226	74.83
14016	227	74	32.60	153	67.40
14017	257	77	29.96	180	70.04
14018	136	56	41.18	80	58.82
14019	274	59	21.53	215	78.47
14020	191	53	27.75	138	72.25
14021	289	52	17.99	237	82.01
14022	331	147	44.41	184	55.59
14023	263	138	52.47	125	47.53
14024	406	235	57.88	171	42.12
14025	188	34	18.09	154	81.91
14026	192	33	17.19	159	82.81
14027	267	108	40.45	159	59.55
14028	234	92	39.32	142	60.68
14029	256	73	28.52	183	71.48
14030	155	29	18.71	126	81.29
14031	175	33	18.86	142	81.14
15001	337	57	16.91	280	83.09
15002	172	105	61.05	67	38.95
15003	184	100	54.35	84	45.65
15004	340	68	20.00	272	80.00
15005	275	47	17.09	228	82.91
15006	303	73	24.09	230	75.91
15007	225	121	53.78	104	46.22
15008	333	63	18.92	270	81.08
15009	386	68	17.62	318	82.38
15010	373	86	23.06	287	76.94
15011	340	74	21.76	266	78.24
15012	390	89	22.82	301	77.18
15013	258	46	17.83	212	82.17
15014	229	30	13.10	199	86.90
15015	224	48	21.43	176	78.57
15016	310	77	24.84	233	75.16
15017	231	138	59.74	93	40.26
15018	199	105	52.76	94	47.24
15019	264	89	33.71	175	66.29
15020	180	90	50.00	90	50.00
15021	187	108	57.75	79	42.25
15022	202	107	52.97	95	47.03
15023	216	133	61.57	83	38.43
15024	189	92	48.68	97	51.32
16001	311	65	20.90	246	79.10
16002	219	131	59.82	88	40.18
16003	209	134	64.11	75	35.89
16004	226	123	54.42	103	45.58
16005	185	97	52.43	88	47.57
16006	207	111	53.62	96	46.38
16007	222	101	45.50	121	54.50
16008	132	80	60.61	52	39.39
16009	245	147	60.00	98	40.00
16010	217	129	59.45	88	40.55
16011	227	104	45.81	123	54.19
16012	178	103	57.87	75	42.13
16013	216	78	36.11	138	63.89
16014	185	107	57.84	78	42.16
16015	252	162	64.29	90	35.71
16016	256	143	55.86	113	44.14
16017	228	88	38.60	140	61.40
16018	250	111	44.40	139	55.60
16019	190	92	48.42	98	51.58
16020	206	130	63.11	76	36.89
16021	186	100	53.76	86	46.24
16022	198	106	53.54	92	46.46
16023	225	60	26.67	165	73.33
16024	151	86	56.95	65	43.05
16025	249	150	60.24	99	39.76
16026	219	123	56.16	96	43.84
16027	189	106	56.08	83	43.92
16028	277	160	57.76	117	42.24
16029	199	109	54.77	90	45.23
16030	209	122	58.37	87	41.63
16031	246	154	62.60	92	37.40
16032	234	60	25.64	174	74.36
16033	235	134	57.02	101	42.98
16034	209	129	61.72	80	38.28
16035	220	72	32.73	148	67.27
16036	188	116	61.70	72	38.30
17001	259	78	30.12	181	69.88
17002	237	128	54.01	109	45.99
17003	226	129	57.08	97	42.92
17004	300	196	65.33	104	34.67
17005	229	128	55.90	101	44.10
17006	224	114	50.89	110	49.11
17007	181	62	34.25	119	65.75
17008	231	123	53.25	108	46.75
17009	263	147	55.89	116	44.11
17010	278	158	56.83	120	43.17
17011	217	130	59.91	87	40.09
17012	268	102	38.06	166	61.94
17013	207	123	59.42	84	40.58
17014	262	124	47.33	138	52.67
17015	260	137	52.69	123	47.31
17016	226	97	42.92	129	57.08
17017	234	134	57.26	100	42.74
17018	295	181	61.36	114	38.64
17019	142	80	56.34	62	43.66
17020	343	196	57.14	147	42.86
17021	353	200	56.66	153	43.34
17022	276	147	53.26	129	46.74
17023	177	98	55.37	79	44.63
17024	300	192	64.00	108	36.00
17025	202	117	57.92	85	42.08
17026	313	191	61.02	122	38.98
17027	236	137	58.05	99	41.95
17028	211	117	55.45	94	44.55
17029	220	142	64.55	78	35.45
17030	228	87	38.16	141	61.84
17031	190	105	55.26	85	44.74
17032	175	112	64.00	63	36.00
17033	165	93	56.36	72	43.64
17034	188	105	55.85	83	44.15
17035	195	114	58.46	81	41.54
17036	295	163	55.25	132	44.75
17037	219	132	60.27	87	39.73
17038	288	170	59.03	118	40.97
17039	263	146	55.51	117	44.49
17040	256	147	57.42	109	42.58
17041	311	202	64.95	109	35.05
18001	231	108	46.75	123	53.25
18002	272	108	39.71	164	60.29
18003	321	145	45.17	176	54.83
18004	314	156	49.68	158	50.32
18005	202	141	69.80	61	30.20
18006	273	162	59.34	111	40.66
18007	297	158	53.20	139	46.80
18008	312	166	53.21	146	46.79
18009	309	176	56.96	133	43.04
18010	394	215	54.57	179	45.43
18011	255	128	50.20	127	49.80
18012	273	161	58.97	112	41.03
18013	318	156	49.06	162	50.94
18014	299	163	54.52	136	45.48
18015	320	131	40.94	189	59.06
18016	296	166	56.08	130	43.92
18017	312	153	49.04	159	50.96
18018	279	170	60.93	109	39.07
18019	305	178	58.36	127	41.64
18020	251	148	58.96	103	41.04
18021	381	194	50.92	187	49.08
18022	356	202	56.74	154	43.26
18023	270	139	51.48	131	48.52
18024	288	124	43.06	164	56.94
18025	304	122	40.13	182	59.87
18026	364	199	54.67	165	45.33
18027	226	119	52.65	107	47.35
18028	294	154	52.38	140	47.62
18029	308	154	50.00	154	50.00
18030	327	155	47.40	172	52.60
18031	300	130	43.33	170	56.67
18032	314	189	60.19	125	39.81
18033	238	126	52.94	112	47.06
18034	405	236	58.27	169	41.73
18035	368	204	55.43	164	44.57
18036	293	147	50.17	146	49.83
18037	358	178	49.72	180	50.28
18038	294	158	53.74	136	46.26
18039	210	110	52.38	100	47.62
18040	351	151	43.02	200	56.98
18041	357	204	57.14	153	42.86
18042	249	143	57.43	106	42.57
18043	241	96	39.83	145	60.17
18044	287	144	50.17	143	49.83
18045	286	108	37.76	178	62.24
18046	341	144	42.23	197	57.77
18047	198	100	50.51	98	49.49
18048	218	125	57.34	93	42.66
18049	195	101	51.79	94	48.21
18050	218	126	57.80	92	42.20
19001	320	228	71.25	92	28.75
19002	486	306	62.96	180	37.04
19003	282	168	59.57	114	40.43
19004	407	248	60.93	159	39.07
19005	395	247	62.53	148	37.47
19006	379	196	51.72	183	48.28
19007	340	212	62.35	128	37.65
19008	409	222	54.28	187	45.72
19009	253	166	65.61	87	34.39
19010	409	256	62.59	153	37.41
19011	389	246	63.24	143	36.76
19012	297	178	59.93	119	40.07
19013	402	212	52.74	190	47.26
19014	382	244	63.87	138	36.13
19015	477	258	54.09	219	45.91
19016	382	226	59.16	156	40.84
19017	301	173	57.48	128	42.52
19018	318	187	58.81	131	41.19
19019	460	279	60.65	181	39.35
19020	321	184	57.32	137	42.68
19021	330	200	60.61	130	39.39
19022	387	223	57.62	164	42.38
19023	375	235	62.67	140	37.33
19024	295	182	61.69	113	38.31
19025	339	228	67.26	111	32.74
19026	344	247	71.80	97	28.20
19027	339	176	51.92	163	48.08
19028	390	206	52.82	184	47.18
19029	343	186	54.23	157	45.77
19030	319	203	63.64	116	36.36
19031	311	186	59.81	125	40.19
19032	316	190	60.13	126	39.87
19033	356	200	56.18	156	43.82
19034	339	228	67.26	111	32.74
19035	312	199	63.78	113	36.22
19036	406	233	57.39	173	42.61
19037	350	175	50.00	175	50.00
19038	302	174	57.62	128	42.38
19039	87	48	55.17	39	44.83
19040	376	222	59.04	154	40.96
19041	334	190	56.89	144	43.11
19042	284	153	53.87	131	46.13
19043	426	236	55.40	190	44.60
19044	393	241	61.32	152	38.68
19045	348	207	59.48	141	40.52
19046	377	257	68.17	120	31.83
19047	489	258	52.76	231	47.24
19048	347	209	60.23	138	39.77
19049	435	232	53.33	203	46.67
19050	271	150	55.35	121	44.65
19051	413	292	70.70	121	29.30
19052	390	201	51.54	189	48.46
19053	332	207	62.35	125	37.65
19054	279	146	52.33	133	47.67
19055	314	191	60.83	123	39.17
19056	384	254	66.15	130	33.85
19057	303	171	56.44	132	43.56
20001	216	114	52.78	102	47.22
20002	116	75	64.66	41	35.34
20003	219	122	55.71	97	44.29
20004	121	60	49.59	61	50.41
20005	253	126	49.80	127	50.20
20006	128	78	60.94	50	39.06
20007	212	115	54.25	97	45.75
20008	280	172	61.43	108	38.57
20009	319	174	54.55	145	45.45
20010	196	108	55.10	88	44.90
20011	300	163	54.33	137	45.67
20012	133	67	50.38	66	49.62
20013	283	157	55.48	126	44.52
20014	168	95	56.55	73	43.45
20015	224	41	18.30	183	81.70
20016	298	151	50.67	147	49.33
20017	157	69	43.95	88	56.05
20018	206	126	61.17	80	38.83
20019	257	146	56.81	111	43.19
