Precinct	Votes	votes|Rahm Emanuel	pct|Rahm Emanuel	votes|Willie Wilson	pct|Willie Wilson	votes|Robert W. Fioretti	pct|Robert W. Fioretti	votes|Jesus ''Chuy'' Garcia	pct|Jesus ''Chuy'' Garcia	votes|William Walls, Iii	pct|William Walls, Iii
41046	371	171	46.09	17	4.58	50	13.48	130	35.04	3	0.81
41047	312	140	44.87	9	2.88	60	19.23	99	31.73	4	1.28
42001	305	243	79.67	7	2.30	12	3.93	42	13.77	1	0.33
42002	180	122	67.78	5	2.78	15	8.33	37	20.56	1	0.56
42003	171	96	56.14	2	1.17	24	14.04	46	26.90	3	1.75
42004	312	230	73.72	9	2.88	19	6.09	51	16.35	3	0.96
42005	138	116	84.06	1	0.72	6	4.35	13	9.42	2	1.45
42006	366	236	64.48	10	2.73	30	8.20	85	23.22	5	1.37
42007	281	223	79.36	11	3.91	14	4.98	31	11.03	2	0.71
42008	269	193	71.75	10	3.72	18	6.69	45	16.73	3	1.12
42009	204	131	64.22	10	4.90	12	5.88	49	24.02	2	0.98
42010	187	132	70.59	8	4.28	14	7.49	30	16.04	3	1.60
42011	232	158	68.10	10	4.31	20	8.62	41	17.67	3	1.29
42012	198	155	78.28	3	1.52	9	4.55	30	15.15	1	0.51
42013	347	237	68.30	9	2.59	39	11.24	57	16.43	5	1.44
42014	152	118	77.63	2	1.32	3	1.97	29	19.08	0	0
42015	125	95	76.00	3	2.40	9	7.20	18	14.40	0	0
42016	202	140	69.31	10	4.95	15	7.43	37	18.32	0	0
42017	192	160	83.33	8	4.17	9	4.69	14	7.29	1	0.52
42018	153	110	71.90	7	4.58	7	4.58	27	17.65	2	1.31
42019	280	215	76.79	9	3.21	20	7.14	34	12.14	2	0.71
42020	136	104	76.47	3	2.21	11	8.09	18	13.24	0	0
42021	144	98	68.06	2	1.39	10	6.94	34	23.61	0	0
42022	111	88	79.28	5	4.50	8	7.21	10	9.01	0	0
42023	177	150	84.75	3	1.69	7	3.95	17	9.60	0	0
42024	243	186	76.54	8	3.29	13	5.35	33	13.58	3	1.23
42025	225	158	70.22	10	4.44	8	3.56	46	20.44	3	1.33
42026	232	188	81.03	4	1.72	10	4.31	28	12.07	2	0.86
42027	220	154	70.00	7	3.18	12	5.45	47	21.36	0	0
42028	327	214	65.44	7	2.14	15	4.59	84	25.69	7	2.14
42029	180	133	73.89	2	1.11	17	9.44	28	15.56	0	0
42030	274	205	74.82	5	1.82	15	5.47	49	17.88	0	0
42031	202	156	77.23	5	2.48	6	2.97	33	16.34	2	0.99
42032	146	117	80.14	0	0	6	4.11	22	15.07	1	0.68
42033	199	130	65.33	11	5.53	16	8.04	40	20.10	2	1.01
42034	265	225	84.91	5	1.89	9	3.40	24	9.06	2	0.75
42035	297	219	73.74	15	5.05	16	5.39	44	14.81	3	1.01
42036	203	145	71.43	5	2.46	15	7.39	35	17.24	3	1.48
42037	117	92	78.63	3	2.56	6	5.13	14	11.97	2	1.71
42038	180	133	73.89	7	3.89	6	3.33	34	18.89	0	0
42039	136	94	69.12	4	2.94	10	7.35	25	18.38	3	2.21
42040	190	152	80.00	6	3.16	6	3.16	25	13.16	1	0.53
42041	186	129	69.35	6	3.23	15	8.06	35	18.82	1	0.54
42042	236	178	75.42	5	2.12	16	6.78	35	14.83	2	0.85
43001	154	103	66.88	16	10.39	5	3.25	27	17.53	3	1.95
43002	245	178	72.65	6	2.45	12	4.90	48	19.59	1	0.41
43003	279	218	78.14	0	0	18	6.45	43	15.41	0	0
43004	235	177	75.32	6	2.55	23	9.79	29	12.34	0	0
43005	196	145	73.98	5	2.55	13	6.63	32	16.33	1	0.51
43006	156	102	65.38	5	3.21	13	8.33	36	23.08	0	0
43007	195	142	72.82	9	4.62	10	5.13	34	17.44	0	0
43008	220	160	72.73	11	5.00	7	3.18	42	19.09	0	0
43009	317	234	73.82	10	3.15	11	3.47	59	18.61	3	0.95
43010	251	177	70.52	6	2.39	20	7.97	46	18.33	2	0.80
43011	175	131	74.86	4	2.29	10	5.71	30	17.14	0	0
43012	163	123	75.46	2	1.23	14	8.59	24	14.72	0	0
43013	252	175	69.44	14	5.56	12	4.76	48	19.05	3	1.19
43014	287	218	75.96	8	2.79	10	3.48	51	17.77	0	0
43015	246	168	68.29	4	1.63	23	9.35	50	20.33	1	0.41
43016	218	150	68.81	7	3.21	20	9.17	41	18.81	0	0
43017	195	147	75.38	5	2.56	11	5.64	31	15.90	1	0.51
43018	274	197	71.90	4	1.46	20	7.30	52	18.98	1	0.36
43019	273	194	71.06	7	2.56	22	8.06	47	17.22	3	1.10
43020	309	213	68.93	6	1.94	12	3.88	75	24.27	3	0.97
43021	266	174	65.41	9	3.38	22	8.27	61	22.93	0	0
43022	137	94	68.61	4	2.92	11	8.03	27	19.71	1	0.73
43023	108	80	74.07	3	2.78	2	1.85	23	21.30	0	0
43024	197	138	70.05	12	6.09	11	5.58	30	15.23	6	3.05
43025	252	175	69.44	11	4.37	13	5.16	52	20.63	1	0.40
43026	216	155	71.76	3	1.39	14	6.48	42	19.44	2	0.93
43027	262	201	76.72	4	1.53	13	4.96	44	16.79	0	0
43028	290	227	78.28	4	1.38	17	5.86	37	12.76	5	1.72
43029	243	157	64.61	6	2.47	10	4.12	69	28.40	1	0.41
43030	227	166	73.13	5	2.20	21	9.25	35	15.42	0	0
43031	283	182	64.31	17	6.01	19	6.71	61	21.55	4	1.41
43032	285	214	75.09	4	1.40	12	4.21	54	18.95	1	0.35
43033	310	244	78.71	7	2.26	19	6.13	39	12.58	1	0.32
43034	206	147	71.36	5	2.43	10	4.85	42	20.39	2	0.97
43035	340	268	78.82	5	1.47	36	10.59	31	9.12	0	0
43036	83	42	50.60	2	2.41	10	12.05	25	30.12	4	4.82
43037	194	135	69.59	3	1.55	19	9.79	33	17.01	4	2.06
43038	272	225	82.72	5	1.84	8	2.94	32	11.76	2	0.74
43039	197	130	65.99	4	2.03	12	6.09	47	23.86	4	2.03
43040	141	78	55.32	5	3.55	8	5.67	43	30.50	7	4.96
43041	308	213	69.16	5	1.62	20	6.49	68	22.08	2	0.65
43042	223	150	67.26	4	1.79	11	4.93	54	24.22	4	1.79
43043	335	259	77.31	5	1.49	26	7.76	45	13.43	0	0
43044	255	186	72.94	6	2.35	15	5.88	47	18.43	1	0.39
43045	190	140	73.68	5	2.63	16	8.42	26	13.68	3	1.58
43046	111	76	68.47	5	4.50	4	3.60	26	23.42	0	0
44001	376	240	63.83	15	3.99	24	6.38	92	24.47	5	1.33
44002	203	123	60.59	5	2.46	18	8.87	57	28.08	0	0
44003	271	210	77.49	5	1.85	12	4.43	44	16.24	0	0
44004	323	248	76.78	4	1.24	14	4.33	57	17.65	0	0
44005	210	128	60.95	5	2.38	12	5.71	59	28.10	6	2.86
44006	217	131	60.37	6	2.76	16	7.37	63	29.03	1	0.46
