Precinct	Votes	votes|Jerry Joyce	pct|Jerry Joyce	votes|Paul Vallas	pct|Paul Vallas	votes|Willie L. Wilson	pct|Willie L. Wilson	votes|Toni Preckwinkle	pct|Toni Preckwinkle	votes|William M. Daley	pct|William M. Daley	votes|Garry Mccarthy	pct|Garry Mccarthy	votes|Gery Chico	pct|Gery Chico	votes|Susana A. Mendoza	pct|Susana A. Mendoza	votes|Amara Enyia	pct|Amara Enyia	votes|La Shawn K. Ford	pct|La Shawn K. Ford	votes|Neal Sales-Griffin	pct|Neal Sales-Griffin	votes|Lori Lightfoot	pct|Lori Lightfoot	votes|Robert ''Bob'' Fioretti	pct|Robert ''Bob'' Fioretti	votes|John Kenneth Kozlar	pct|John Kenneth Kozlar
08031	184	2	1.09	7	3.80	44	23.91	52	28.26	14	7.61	2	1.09	4	2.17	3	1.63	21	11.41	3	1.63	1	0.54	28	15.22	3	1.63	0	0
08032	192	6	3.13	7	3.65	46	23.96	50	26.04	16	8.33	2	1.04	3	1.56	6	3.13	26	13.54	5	2.60	1	0.52	23	11.98	1	0.52	0	0
08033	270	5	1.85	5	1.85	86	31.85	60	22.22	29	10.74	1	0.37	0	0	12	4.44	20	7.41	1	0.37	2	0.74	48	17.78	0	0	1	0.37
08034	262	9	3.44	8	3.05	65	24.81	59	22.52	24	9.16	3	1.15	5	1.91	18	6.87	26	9.92	5	1.91	0	0	34	12.98	5	1.91	1	0.38
08035	315	5	1.59	4	1.27	83	26.35	66	20.95	38	12.06	2	0.63	10	3.17	6	1.90	29	9.21	11	3.49	0	0	60	19.05	0	0	1	0.32
08036	280	6	2.14	3	1.07	64	22.86	86	30.71	22	7.86	0	0	4	1.43	7	2.50	31	11.07	10	3.57	2	0.71	44	15.71	1	0.36	0	0
08037	234	5	2.14	8	3.42	50	21.37	63	26.92	19	8.12	0	0	9	3.85	9	3.85	31	13.25	4	1.71	0	0	36	15.38	0	0	0	0
08038	167	2	1.20	3	1.80	48	28.74	39	23.35	29	17.37	2	1.20	2	1.20	4	2.40	14	8.38	1	0.60	1	0.60	21	12.57	0	0	1	0.60
08039	251	7	2.79	5	1.99	55	21.91	74	29.48	21	8.37	1	0.40	12	4.78	10	3.98	19	7.57	4	1.59	1	0.40	40	15.94	1	0.40	1	0.40
08040	202	4	1.98	5	2.48	48	23.76	53	26.24	16	7.92	0	0	6	2.97	11	5.45	24	11.88	2	0.99	0	0	31	15.35	2	0.99	0	0
08041	275	10	3.64	4	1.45	74	26.91	56	20.36	25	9.09	1	0.36	5	1.82	16	5.82	26	9.45	8	2.91	2	0.73	44	16.00	4	1.45	0	0
08042	324	4	1.23	10	3.09	74	22.84	102	31.48	24	7.41	1	0.31	8	2.47	8	2.47	31	9.57	9	2.78	1	0.31	50	15.43	2	0.62	0	0
08043	146	4	2.74	0	0	50	34.25	26	17.81	15	10.27	1	0.68	5	3.42	3	2.05	13	8.90	2	1.37	0	0	26	17.81	1	0.68	0	0
08044	172	1	0.58	5	2.91	39	22.67	49	28.49	15	8.72	4	2.33	6	3.49	5	2.91	11	6.40	4	2.33	0	0	31	18.02	1	0.58	1	0.58
08045	186	3	1.61	5	2.69	63	33.87	55	29.57	20	10.75	2	1.08	2	1.08	5	2.69	12	6.45	5	2.69	0	0	14	7.53	0	0	0	0
08046	206	5	2.43	4	1.94	55	26.70	54	26.21	22	10.68	2	0.97	10	4.85	5	2.43	22	10.68	1	0.49	1	0.49	22	10.68	3	1.46	0	0
08047	208	9	4.33	1	0.48	66	31.73	41	19.71	20	9.62	1	0.48	7	3.37	11	5.29	21	10.10	2	0.96	1	0.48	26	12.50	2	0.96	0	0
08048	212	5	2.36	7	3.30	67	31.60	47	22.17	17	8.02	3	1.42	4	1.89	6	2.83	29	13.68	4	1.89	1	0.47	21	9.91	0	0	1	0.47
08049	236	5	2.12	1	0.42	65	27.54	60	25.42	19	8.05	1	0.42	13	5.51	8	3.39	27	11.44	2	0.85	0	0	32	13.56	2	0.85	1	0.42
08050	292	8	2.74	7	2.40	62	21.23	75	25.68	36	12.33	6	2.05	6	2.05	9	3.08	35	11.99	6	2.05	0	0	39	13.36	3	1.03	0	0
08051	294	9	3.06	5	1.70	71	24.15	68	23.13	25	8.50	3	1.02	10	3.40	14	4.76	37	12.59	8	2.72	1	0.34	42	14.29	1	0.34	0	0
08052	348	5	1.44	9	2.59	72	20.69	85	24.43	36	10.34	3	0.86	13	3.74	13	3.74	44	12.64	7	2.01	0	0	58	16.67	2	0.57	1	0.29
08053	144	3	2.08	4	2.78	41	28.47	42	29.17	12	8.33	0	0	3	2.08	1	0.69	14	9.72	2	1.39	0	0	18	12.50	3	2.08	1	0.69
08054	196	8	4.08	3	1.53	70	35.71	45	22.96	17	8.67	1	0.51	3	1.53	7	3.57	12	6.12	5	2.55	1	0.51	24	12.24	0	0	0	0
08055	236	1	0.42	1	0.42	73	30.93	73	30.93	25	10.59	1	0.42	4	1.69	5	2.12	19	8.05	4	1.69	3	1.27	26	11.02	1	0.42	0	0
08056	278	4	1.44	6	2.16	67	24.10	67	24.10	21	7.55	2	0.72	10	3.60	16	5.76	32	11.51	4	1.44	1	0.36	47	16.91	1	0.36	0	0
09001	240	8	3.33	5	2.08	83	34.58	46	19.17	28	11.67	0	0	8	3.33	8	3.33	17	7.08	4	1.67	2	0.83	30	12.50	1	0.42	0	0
09002	207	7	3.38	6	2.90	78	37.68	43	20.77	14	6.76	2	0.97	4	1.93	7	3.38	17	8.21	6	2.90	0	0	21	10.14	2	0.97	0	0
09003	125	3	2.40	10	8.00	50	40.00	20	16.00	6	4.80	0	0	5	4.00	5	4.00	9	7.20	0	0	0	0	16	12.80	1	0.80	0	0
09004	190	4	2.11	3	1.58	66	34.74	38	20.00	19	10.00	1	0.53	6	3.16	3	1.58	12	6.32	3	1.58	0	0	34	17.89	1	0.53	0	0
